px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.0272407	-0.0272407	0	0	0	0	0	0	0	0	0	0
1.53325	-0.1179	1.16985	-1.38778e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.61656	0.0204526	1.52195	-0.0617355	-0.0348554	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	0
3.86887	-0.130967	1.75052	-0.108534	-0.0557653	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
3.94177	0.0701173	1.92063	0.311771	0.18438	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	0
6.81804	0.406382	2.31317	-0.0275283	0.215755	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
6.74537	0.437498	2.46235	0.05656	0.312361	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0
9.0655	0.593299	2.52314	0.0883584	0.107465	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
9.03383	0.660299	2.62293	0.218662	0.196849	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0
11.5497	1.65911	2.69802	0.428496	0.19182	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
11.5296	1.62057	2.71899	0.370307	0.125816	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0
13.5958	2.31669	2.69817	0.344207	0.0294507	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
13.6048	2.28016	2.70223	0.314983	0.0034931	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0
16.6009	2.89461	2.77029	0.0568385	-0.161984	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
16.5398	2.88848	2.79536	0.0902638	-0.109395	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0
18.9993	3.6971	2.79607	0.449891	0.190034	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
19.0718	3.7192	2.79573	0.476425	0.220826	19.363	3.87122	18.923	3.74161	2.61382	0.95648	0
21.3213	4.73175	2.79064	0.438754	0.0546901	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
21.3825	4.73675	2.83414	0.348902	-0.0808248	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0
24.0542	5.56324	2.87057	0.233036	-0.100861	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
24.1619	5.59829	2.95635	0.217919	-0.113259	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0
