px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.312243	0.58034	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0
0.735335	0.629467	7.20389	-2.69555e-18	3.1028e-17	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0
1.1605	0.494943	7.20697	-0.127191	-0.0118556	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0
1.25801	0.533086	7.19218	0.122699	0.0306249	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0
1.61582	0.595358	7.20568	0.161523	0.0462382	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0
1.85111	0.561912	6.00965	0.025512	-0.233142	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0
2.16294	0.591299	6.0093	0.0402001	-0.177436	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0
2.37882	0.637246	5.60524	0.0562396	-0.339573	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0
2.65608	0.654386	5.60269	0.045008	-0.318006	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0
2.92255	0.64799	5.53717	-0.00267839	-0.470826	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0
3.15842	0.643645	5.49299	-0.0160349	-0.436211	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0
3.44396	0.539687	5.52544	-0.164437	-0.850224	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0
3.74708	0.427411	5.59192	-0.283296	-1.07203	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0
4.0279	0.511592	5.55314	-0.146424	-0.548733	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0
4.3018	0.503568	5.53507	-0.139379	-0.465412	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0
4.56249	0.539409	5.45278	-0.0991067	-0.328604	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0
4.75221	0.645719	5.2916	0.00129807	-0.0850318	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0
